São João Batista,Brusque,27
São João Batista,Canelinha,10
São João Batista,Major Gercino,26
São João Batista,Nova Trento,8
São Martinho,Imaruí,39
São Martinho,Rio Fortuna,16
São Martinho,São Bonifácio,42
São Martinho,Gravatal,38
São Pedro de Alcântara,Angelina,28
São Pedro de Alcântara,Antônio Carlos,10
São Pedro de Alcântara,São José,22
Tijucas,Biguaçu,31
Tijucas,Bombinhas,23
Tijucas,Canelinha,15
Tijucas,Gov. Celso Ramos,31
Tijucas,Itapema,17
Tijucas,Porto Belo,12
Treviso,Lauro Muller,19
Treviso,Siderópolis,13
Tubarão,Gravatal,24
Tubarão,Jaguaruna,21
Tubarão,Laguna,28
Tubarão,Orleans,44
Urubici,Bom Jardim da Serra,73
Urubici,Bom Retiro,36
Urubici,Braço do Norte,71
Urubici,Rio Rufino,33
Urubici,São Joaquim,61
Urupema,Painel,26
Urupema,Rio Rufino,19
Urussanga,Cocal do Sul,10
Urussanga,Morro da Fumaça,20
Urussanga,Orleans,21
Urussanga,Siderópolis,17
Vidal Ramos,Brusque,76
Vidal Ramos,Ituporanga,32
Vidal Ramos,Leoberto Leal,23
Vidal Ramos,Lontras,51
